"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","Will log in MiTalk with system account. If it is inconsistent with current MiTalk ID, your data will be cleared. Are you sure?","MiTalk synchronisatie aan zetten?",
"AccountAndSyncSettings.apk","xiaomi_account","Xiaomi Account","Xiaomi Account",
"AccountAndSyncSettings.apk","terms_not_agreed","You must agree to the terms and conditions","U moet de gebruiksvoorwaarden goedkeuren",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","You will not be able to chat with your MiTalk friends via Contacts, are you sure you want to close it? (You may change or cancel account in Settings of MiTalk)","Uitschakelen MiTalk synchronisatie, u kunt geen berichten versturen of ontvangen. Doorgaan?",
"AccountAndSyncSettings.apk","bind_email_dialog_message","You will receive an E-mail confirmation with a verification code to validate your account","U ontvangt een Email met een verificatiecode om uw account te valideren",
"AccountAndSyncSettings.apk","bind_phone_dialog_message","You will receive an SMS confirmation with a verification code to validate your account","U ontvangt een SMS met een verificatiecode om uw account te valideren",
"AntiSpam.apk","act_mute_ms_summary","不响铃不振动，但依然在短信会话中","Bij berichten van geblokkeerde contacten wordt er geen meldingsgeluid afgespeeld maar u kunt het bericht later bekijken",
"AntiSpam.apk","act_mute_call_summary","不响铃不振动，但依然在通话记录中","De inkomende oproep wordt gedempt maar is terug te zien in de gesprekslog",
"AntiSpam.apk","act_ignore_call","不拦截","Oproepen negeren",
"AntiSpam.apk","act_action_accept_accept","不拦截","Accepteer",
"AntiSpam.apk","act_ignore_ms","不拦截","Berichten negeren",
"AntiSpam.apk","fw_menu_pick_from_contact","从通话和联系人中选择...","Contact(en)",
"AntiSpam.apk","save_button","保存","Opslaan",
"AntiSpam.apk","edit_blacklist","修改备注","Bewerk zwarte lijst",
"AntiSpam.apk","edit_whitelist","修改备注","Bewerk witte lijst",
"AntiSpam.apk","check_nothing","全不选","Deselecteer alles",
"AntiSpam.apk","fw_all_day","全天拦截","Altijd",
"AntiSpam.apk","check_all","全选","Wis alles",
"AntiSpam.apk","fw_add_keyword_existing","关键词: %s 已经存在","Trefwoord: %s bestaat al",
"AntiSpam.apk","fw_menu_remove","删除","Wis",
"AntiSpam.apk","context_ms","发短信","Stuur SMS/MMS",
"AntiSpam.apk","no","取消","Annuleer",
"AntiSpam.apk","cancel_button","取消","Annuleer",
"AntiSpam.apk","opt_accept_whitelist","只接收白名单里的人","Accepteer witte lijst",
"AntiSpam.apk","fw_in_whitelist","号码: %s 已经存在白名单中","Nummer %s is al in witte lijst",
"AntiSpam.apk","fw_in_blacklist","号码: %s 已经存在黑名单中","Nummer %s is al in zwarte lijst",
"AntiSpam.apk","opt_reject_blacklist_stranger_summary","同时拦截黑名单，接受白名单","Blokkeer zwarte lijst maar deblokkeer witte lijst",
"AntiSpam.apk","fw_notes_hint","备注（可选）","Opmerking (optioneel)",
"AntiSpam.apk","act_call","对于拦截的来电","Opties geblokkeerde oproepen",
"AntiSpam.apk","act_ms","对于拦截的短信","Opties geblokkeerde berichten",
"AntiSpam.apk","fw_import_ms","导入该联系人的所有短信","Importeer alle berichten",
"AntiSpam.apk","act_hangup_call","屏蔽并放入拦截记录","Oproepen niet tonen",
"AntiSpam.apk","act_del_ms","屏蔽并放入拦截记录","Berichten niet tonen",
"AntiSpam.apk","act_action_reject_accept","屏蔽来电","Weiger oproepen",
"AntiSpam.apk","act_action_reject_reject","屏蔽来电和短信","Weiger oproepen en berichten",
"AntiSpam.apk","act_action_reject_mute","屏蔽来电，静音短信","Weiger oproepen, demp berichten",
"AntiSpam.apk","act_hangup_call_summary","屏蔽的来电不会出现在通话记录中","Geblokkeerde oproepen worden niet getoond",
"AntiSpam.apk","act_del_ms_summary","屏蔽的短信不会出现在短信会话中","Geblokkeerde berichten worden niet getoond",
"AntiSpam.apk","act_action_accept_reject","屏蔽短信","Weiger berichten",
"AntiSpam.apk","fw_blocked","已保护您免于打扰","Resultaten",
"AntiSpam.apk","member_firewall_log","已拦截: 电话%d, 信息%d","Geblokkeerd: Aantal %d details %d",
"AntiSpam.apk","show_firewall_notification","常驻图标","Statusbalk icoon",
"AntiSpam.apk","enable_firewall","开启拦截","Niet Storen",
"AntiSpam.apk","emptylist_fwlog_call","当前没有来电拦截记录","Geblokkeerde oproepen worden hier weergegeven",
"AntiSpam.apk","emptylist_fwlog_ms","当前没有短信拦截记录","Geblokkeerde berichten worden hier weergegeven",
"AntiSpam.apk","fw_restore_ms","恢复到手机短信","Terug naar berichten",
"AntiSpam.apk","fw_menu_new_manual","手工添加","Telefoonnummer",
"AntiSpam.apk","fw_whitelist_hint","把您最信赖的号码添加到这里。\n白名单中的来电和短信默认不拦截。",""Berichten en oproepen van witte lijst
worden niet geblokkeerd"",
"AntiSpam.apk","fw_blacklist_hint","把您要拦截的号码添加到这里。\n黑名单中的来电和短信默认全部拦截。",""Berichten en oproepen van de zwarte lijst
worden geblokkeerd"",
"AntiSpam.apk","opt_reject_blacklist_stranger","拦截不在通信录里的人","Onbekend",
"AntiSpam.apk","fw_action_settings","拦截后操作","Acties",
"AntiSpam.apk","fw_pattern_settings","拦截对象","Niet-Storen regels",
"AntiSpam.apk","opt_reject_all","拦截所有人","Alle",
"AntiSpam.apk","firewall_action","拦截操作","Actie:",
"AntiSpam.apk","fw_time_settings","拦截时间","Activering",
"AntiSpam.apk","firewall_settings_tab_title","拦截规则","Niet-Storen",
"AntiSpam.apk","firewall_log","拦截记录","Niet Storen log",
"AntiSpam.apk","show_notification","拦截通知","Statusbalk melding",
"AntiSpam.apk","anti_stranger_title","拦截骚扰电话","Filter onbekenden",
"AntiSpam.apk","opt_reject_blacklist","拦截黑名单里的人","Blokkeer zwarte lijst",
"AntiSpam.apk","context_call","拨打电话","Oproep",
"AntiSpam.apk","fw_period","指定拦截时间","Een deel van de dag",
"AntiSpam.apk","context_new_contact","新建联系人","Nieuw contact",
"AntiSpam.apk","fw_keyword_list","智能拦截关键词","Trefwoord(en) lijst",
"AntiSpam.apk","fw_blocked_count","替您新拦截了%d个来电%d个短信","%d %d oproepen en berichten geblokkeerd",
"AntiSpam.apk","call_log_tab_title","来电","Oproepen",
"AntiSpam.apk","calllog","来电","Oproeplog",
"AntiSpam.apk","fw_call_rejected","来电被拦截","Oproep geblokkeerd",
"AntiSpam.apk","fw_call_muted","来电被静音","Oproep gedempt",
"AntiSpam.apk","fw_keyword_filter_summary","根据关键词过滤陌生人短信","Filter berichten gebaseerd op trefwoorden",
"AntiSpam.apk","fw_import_whitelist","正在添加白名单","Importeer witte lijst",
"AntiSpam.apk","fw_import_blacklist","正在添加黑名单","Importeer zwarte lijst",
"AntiSpam.apk","add_button","添加","Voeg nummer of contact toe",
"AntiSpam.apk","context_add_contact","添加到已有联系人","Voeg contact toe",
"AntiSpam.apk","fw_menu_new_whitelist_title","添加号码到白名单","Voeg toe aan witte lijst",
"AntiSpam.apk","add_whitelist","添加号码到白名单","Op witte lijst zetten",
"AntiSpam.apk","fw_menu_new_blacklist_title","添加号码到黑名单","Voeg toe aan zwarte lijst",
"AntiSpam.apk","add_blacklist","添加号码到黑名单","Op zwarte lijst zetten",
"AntiSpam.apk","fw_add_keyword","添加拦截关键词","Trefwoord toevoegen",
"AntiSpam.apk","clear_all_mslog","清空信息拦截记录","Wis berichtenlog",
"AntiSpam.apk","fw_clear_all_keyword","清空拦截关键词","Wis alle trefwoorden",
"AntiSpam.apk","clear_all_calllog","清空电话拦截记录","Wis oproeplog",
"AntiSpam.apk","fw_clear_whitelist","清空白名单","Wis witte lijst",
"AntiSpam.apk","fw_clear_blacklist","清空黑名单","Wis zwarte lijst",
"AntiSpam.apk","fw_call","电话拦截：%s (%d)","Oproep tijd: %s (%d)",
"AntiSpam.apk","fw_whitelist","白名单","Witte lijst",
"AntiSpam.apk","mms_log_tab_title","短信","Berichten",
"AntiSpam.apk","fw_ms","短信拦截：%s (%d)","Bericht tijd: %s (%d)",
"AntiSpam.apk","fw_ms_imported","短信被导入","Berichten importeren",
"AntiSpam.apk","fw_ms_rejected","短信被拦截","Berichten geblokkeerd",
"AntiSpam.apk","fw_ms_filtered","短信被过滤","Filter berichten",
"AntiSpam.apk","fw_ms_muted","短信被静音","Demp berichten",
"AntiSpam.apk","confirm","确定","OK",
"AntiSpam.apk","remove","移除","Wis",
"AntiSpam.apk","act_mute_call","简单静音","Demp oproep",
"AntiSpam.apk","act_mute_ms","简单静音","Demp berichten",
"AntiSpam.apk","fw_end_time","结束时间","Eind tijd",
"AntiSpam.apk","menu_edit","编辑","Bewerken",
"AntiSpam.apk","fw_edit_keyword","编辑拦截关键词","Trefwoord(en) bewerken",
"AntiSpam.apk","fw_set_keyword","设置过滤关键词","Instellen trefwoord filter",
"AntiSpam.apk","fw_start_time","起始时间","Begin tijd",
"AntiSpam.apk","fw_add_list_title","输入电话号码","Geef telefoonnummer",
"AntiSpam.apk","number_add_hint","输入电话号码","Telefoonnummer invoeren",
"AntiSpam.apk","fw_keyword_filter","过滤垃圾短信","Filteren",
"AntiSpam.apk","fw_notification_settings","通知和其它","Mededeling instellingen",
"AntiSpam.apk","app_name","防打扰","Niet Storen",
"AntiSpam.apk","fw_no_effect","防打扰功能没有开启。是否继续？","Niet-Storen inactief",
"AntiSpam.apk","firewall_settings","防打扰设置","Niet-Storen instellingen",
"AntiSpam.apk","fw_on","防打扰运行中","Niet-Storen actief",
"AntiSpam.apk","fw_keyword_list_hint","陌生人发给您的短信中出现下列词语就会被拦截。您可一次添加多个，用逗号分开。","Ontvangen berichten met de volgende trefwoorden worden geblokkeerd",
"AntiSpam.apk","anti_stranger_summary","陌生人来电第一声响铃静音","Filter inkomende oproepen van onbekenden, je kunt ook niet zien of ze jou wilden bellen",
"AntiSpam.apk","act_action_mute_accept","静音来电","Demp oproepen",
"AntiSpam.apk","act_action_mute_mute","静音来电和短信","Demp oproepen en berichten",
"AntiSpam.apk","act_action_mute_reject","静音来电，屏蔽短信","Demp oproepen, weiger berichten",
"AntiSpam.apk","act_action_accept_mute","静音短信","Demp berichten",
"AntiSpam.apk","fw_advanced_settings","高级拦截","Geavanceerde instellingen",
"AntiSpam.apk","fw_blacklist","黑名单","Zwarte lijst",
"AntiSpam.apk","black_white_list_tab_title","黑白名单","Filters",
"ApplicationsProvider.apk","application_desc","Application","",
"ApplicationsProvider.apk","search_label","Apps","",
"ApplicationsProvider.apk","settings_description","Names of installed applications","",
"ApplicationsProvider.apk","app_label","Search Applications Provider","",
